PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,is_fish,is_mammal,is_plant,is_human,PFAS_Class_encoded,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration,BCF,log_BCF,Study Year
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,0,0,0,0,0.0,Intestinal tract,Renewal,,1.0,0.0,,,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,0,0,0,0,0.0,Brain,Renewal,,1.0,0.0,,,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,0,0,0,0,0.0,Intestinal tract,Renewal,,1.0,0.0,,,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,0,0,0,0,0.0,Brain,Renewal,,1.0,0.0,,,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,734000.0,5.86569605991607,4.62,0.6646419755561255,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,478000.0,5.679427896612119,4.92,0.6919651027673603,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,54200.0,4.733999286538387,5.63,0.7505083948513462,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,54200.0,4.733999286538387,6.31,0.8000293592441343,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,734000.0,5.86569605991607,6.32,0.800717078282385,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,478000.0,5.679427896612119,6.37,0.8041394323353505,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,190000.0,5.278753600952829,6.65,0.8228216453031046,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,478000.0,5.679427896612119,6.7,0.8260748027008264,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,92400.0,4.9656719712201065,7.32,0.8645110810583919,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,54200.0,4.733999286538387,7.49,0.8744818176994665,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,190000.0,5.278753600952829,7.72,0.8876173003357362,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,54200.0,4.733999286538387,7.87,0.8959747323590646,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,92400.0,4.9656719712201065,8.17,0.9122220565324155,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,92400.0,4.9656719712201065,8.61,0.9350031514536548,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,190000.0,5.278753600952829,9.25,0.9661417327390326,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,190000.0,5.278753600952829,10.8,1.0334237554869496,2025
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,0,0,0,0,0.0,Whole organism,Renewal,,92400.0,4.9656719712201065,12.4,1.0934216851622351,2025
