PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Zebra Danio,Other,2,0,Whole organism,Renewal,,1693.88689,3.228884406768645
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Zebra Danio,Other,2,0,Whole organism,Renewal,,180.990654,2.2576561493386693
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Fathead Minnow,Fish,3,1,Ovaries,Renewal,,105.6,2.0236639181977933
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Zebra Danio,Other,2,0,Gonad(s),Flow-through,,1000.0,3.0
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,Blood,Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,"Residual, remnant, carcass",Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,Gill(s),Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,Kidney,Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,Muscle,Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,"Skin, epidermis",Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Rainbow Trout,Fish,3,1,Liver,Food,,347.0,2.5403294747908736
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.6,0.9822712330395684
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.62,0.983175072037813
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.62,0.983175072037813
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.62,0.983175072037813
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.62,0.983175072037813
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.6,0.9822712330395684
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.6,0.9822712330395684
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Midge,Other,2,0,Whole organism,Static,,9.6,0.9822712330395684
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Green Mussel,Other,2,0,Tissue,Renewal,,97.0,1.9867717342662448
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Mussel,Other,2,0,Gill(s),Static,,46.40786,1.66659154231217
PFNA,375-95-1,Carboxylate,9.0,464.1,6.05,Mussel,Other,2,0,Gill(s),Static,,46.40786,1.66659154231217
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,Intestinal tract,Renewal,,1.0,0.0
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,Brain,Renewal,,1.0,0.0
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,Intestinal tract,Renewal,,1.0,0.0
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,American Bullfrog,Other,2,0,Brain,Renewal,,1.0,0.0
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,734000.0,5.86569605991607
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,478000.0,5.679427896612119
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,54200.0,4.733999286538387
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,54200.0,4.733999286538387
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,734000.0,5.86569605991607
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,478000.0,5.679427896612119
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,190000.0,5.278753600952829
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,478000.0,5.679427896612119
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,92400.0,4.9656719712201065
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,54200.0,4.733999286538387
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,190000.0,5.278753600952829
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,54200.0,4.733999286538387
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,92400.0,4.9656719712201065
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,92400.0,4.9656719712201065
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,190000.0,5.278753600952829
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,190000.0,5.278753600952829
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,92400.0,4.9656719712201065
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Water Flea,Other,2,0,Whole organism,Renewal,,478000.0,5.679427896612119
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Indian Medaka,Fish,3,1,Multiple entries,Renewal,,105.39999999999999,2.0228406108765276
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Indian Medaka,Fish,3,1,Multiple entries,Renewal,,103.6,2.0153597554092144
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Indian Medaka,Fish,3,1,Multiple entries,Renewal,,108.8,2.036628895362161
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,1428.4560079999999,3.1548668700060984
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,108.034488,2.0335624180528926
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Static,,28500.0,4.45484486000851
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,80.0,1.9030899869919435
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,4630.0,3.6655809910179533
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,80.0,1.9030899869919435
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,1400.0,3.146128035678238
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,250.0,2.3979400086720375
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Whole organism,Renewal,,250.0,2.3979400086720375
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Brain,Renewal,,4201.3412,3.6233879529638435
PFBS,375-73-5,Sulfonate,4.0,300.1,1.82,Zebra Danio,Other,2,0,Brain,Renewal,,4201.3412,3.6233879529638435
,29420-49-3,,,,,Zebra Danio,Other,2,0,Whole organism,Static,,15942.1227,4.2025461473938375
,29420-49-3,,,,,Zebra Danio,Other,2,0,Whole organism,Renewal,,1522.981509,3.1826946304614427
,29420-49-3,,,,,Zebra Danio,Other,2,0,Whole organism,Renewal,,108.542112,2.0355982677780258
,29420-49-3,,,,,Zebra Danio,Other,2,0,Whole organism,Static,,50.07,1.699577591398909
,29420-49-3,,,,,Zebra Danio,Other,2,0,Whole organism,Static,,510.0,2.7075701760979363
,29420-49-3,,,,,Rainbow Trout,Fish,3,1,Plasma,Flow-through,,5.694,0.7554174628109362
,29420-49-3,,,,,Mussel,Other,2,0,Gill(s),Static,,33.91941,1.5304482894581197
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,3130.0,3.4955443375464483
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,3130.0,3.4955443375464483
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,5050.0,3.7032913781186614
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,3130.0,3.4955443375464483
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,1160.0,3.0644579892269186
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,1160.0,3.0644579892269186
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,5050.0,3.7032913781186614
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,1160.0,3.0644579892269186
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,610.0,2.785329835010767
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,610.0,2.785329835010767
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,610.0,2.785329835010767
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,5050.0,3.7032913781186614
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,3130.0,3.4955443375464483
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,610.0,2.785329835010767
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,1160.0,3.0644579892269186
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,5050.0,3.7032913781186614
,30334-69-1,,,,,Water Flea,Other,2,0,Whole organism,Renewal,,9850.0,3.9934362304976116
,30334-69-1,,,,,Zebra Danio,Other,2,0,Whole organism,Static,,14058.217,4.147930242720485
,754-91-6,,,,,Common Carp,Fish,3,1,Whole organism,Flow-through,,15.5,1.1903316981702914
,754-91-6,,,,,Zebra Danio,Other,2,0,Whole organism,Renewal,,199.65688,2.3002842801930354
,754-91-6,,,,,Common Carp,Fish,3,1,Blood,Renewal,,1.15,0.06069784035361165
,754-91-6,,,,,Common Carp,Fish,3,1,Multiple entries,Flow-through,,15.5,1.1903316981702914
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,40000.0,4.6020599913279625
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,20000.0,4.301029995663981
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,10000.0,4.0
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Green Algae,Other,2,0,,Static,,5000.0,3.6989700043360187
PFOS,1763-23-1,Sulfonate,8.0,500.1,5.26,Leopard Frog,Other,2,0,Whole organism,Lentic ,,16.0,1.2041199826559248
